nome_mun,pop2017,muni_code
S\u00e3o Caetano de Odivelas,17563,1507102
S\u00e3o Domingos do Araguaia,24859,1507151
S\u00e3o Domingos do Capim,31123,1507201
S\u00e3o F\u00e9lix do Xingu,124806,1507300
S\u00e3o Francisco do Par\u00e1,15454,1507409
S\u00e3o Geraldo do Araguaia,24188,1507458
S\u00e3o Jo\u00e3o da Ponta,5970,1507466
S\u00e3o Jo\u00e3o de Pirabas,22415,1507474
S\u00e3o Jo\u00e3o do Araguaia,13616,1507508
S\u00e3o Miguel do Guam\u00e1,57364,1507607
S\u00e3o Sebasti\u00e3o da Boa Vista,25904,1507706
Sapucaia,5766,1507755
Senador Jos\u00e9 Porf\u00edrio,11357,1507805
Soure,24682,1507904
Tail\u00e2ndia,103321,1507953
Terra Alta,11399,1507961
Terra Santa,18257,1507979
Tom\u00e9-A\u00e7u,61709,1508001
Tracuateua,30108,1508035
Trair\u00e3o,18469,1508050
Tucum\u00e3,38508,1508084
Tucuru\u00ed,110516,1508100
Ulian\u00f3polis,57525,1508126
Uruar\u00e1,44258,1508159
Vigia,52216,1508209
Viseu,59735,1508308
Vit\u00f3ria do Xingu,14719,1508357
Xinguara,43530,1508407
Serra do Navio,5111,1600055
Amap\u00e1,8757,1600105
Pedra Branca do Amapari,15125,1600154
Cal\u00e7oene,10525,1600204
Cutias,5637,1600212
Ferreira Gomes,7270,1600238
Itaubal,5172,1600253
Laranjal do Jari,47554,1600279
Macap\u00e1,474706,1600303
Mazag\u00e3o,20387,1600402
Oiapoque,25514,1600501
Porto Grande,20611,1600535
Pracu\u00faba,4779,1600550
Santana,115471,1600600
Tartarugalzinho,16112,1600709
Vit\u00f3ria do Jari,14991,1600808
Abreul\u00e2ndia,2571,1700251
Aguiarn\u00f3polis,6460,1700301
Alian\u00e7a do Tocantins,5527,1700350
Almas,7273,1700400
Alvorada,8516,1700707
Anan\u00e1s,9749,1701002
Angico,3423,1701051
Aparecida do Rio Negro,4726,1701101
Aragominas,5865,1701309
Araguacema,7003,1701903
Aragua\u00e7u,8692,1702000
Aragua\u00edna,175960,1702109
Araguan\u00e3,5645,1702158
Araguatins,35216,1702208
Arapoema,6756,1702307
Arraias,10727,1702406
Augustin\u00f3polis,18089,1702554
Aurora do Tocantins,3735,1702703
Axix\u00e1 do Tocantins,9776,1702901
Baba\u00e7ul\u00e2ndia,10752,1703008
Bandeirantes do Tocantins,3500,1703057
Barra do Ouro,4544,1703073
Barrol\u00e2ndia,5643,1703107
Bernardo Say\u00e3o,4518,1703206
Bom Jesus do Tocantins,4700,1703305
Brasil\u00e2ndia do Tocantins,2199,1703602
Brejinho de Nazar\u00e9,5499,1703701
Buriti do Tocantins,11135,1703800
Cachoeirinha,2276,1703826
Campos Lindos,9795,1703842
Cariri do Tocantins,4296,1703867
Carmol\u00e2ndia,2555,1703883
Carrasco Bonito,4055,1703891
Caseara,5265,1703909
Centen\u00e1rio,2866,1704105
Chapada de Areia,1407,1704600
Chapada da Natividade,3364,1705102
Colinas do Tocantins,34839,1705508
Combinado,4874,1705557
Concei\u00e7\u00e3o do Tocantins,4179,1705607
Couto Magalh\u00e3es,5529,1706001
Cristal\u00e2ndia,7374,1706100
Crix\u00e1s do Tocantins,1708,1706258
Darcin\u00f3polis,5988,1706506
Dian\u00f3polis,21738,1707009
Divin\u00f3polis do Tocantins,6868,1707108
Dois Irm\u00e3os do Tocantins,7286,1707207
Duer\u00e9,4727,1707306
Esperantina,10793,1707405
F\u00e1tima,3879,1707553
Figueir\u00f3polis,5352,1707652
Filad\u00e9lfia,8893,1707702
Formoso do Araguaia,18684,1708205
Fortaleza do Taboc\u00e3o,2584,1708254
Goianorte,5153,1708304
Goiatins,12973,1709005
Guara\u00ed,25642,1709302
Gurupi,85523,1709500
Ipueiras,1955,1709807
Itacaj\u00e1,7456,1710508
Itaguatins,5980,1710706
Itapiratins,3772,1710904
Itapor\u00e3 do Tocantins,2465,1711100
Ja\u00fa do Tocantins,3821,1711506
Juarina,2229,1711803
Lagoa da Confus\u00e3o,12808,1711902
Lagoa do Tocantins,4191,1711951
Lajeado,3092,1712009
Lavandeira,1875,1712157
Lizarda,3787,1712405
Luzin\u00f3polis,3038,1712454
Marian\u00f3polis do Tocantins,5054,1712504
Mateiros,2614,1712702
Mauril\u00e2ndia do Tocantins,3409,1712801
Miracema do Tocantins,19055,1713205
Miranorte,13426,1713304
Monte do Carmo,7770,1713601
Monte Santo do Tocantins,2264,1713700
Palmeiras do Tocantins,6535,1713809
Muricil\u00e2ndia,3507,1713957
Natividade,9312,1714203
Nazar\u00e9,4060,1714302
Nova Olinda,11715,1714880
Nova Rosal\u00e2ndia,4203,1715002
Novo Acordo,4267,1715101
Novo Alegre,2353,1715150
Novo Jardim,2697,1715259
Oliveira de F\u00e1tima,1110,1715507
Palmeirante,5859,1715705
Palmeir\u00f3polis,7687,1715754
Para\u00edso do Tocantins,50360,1716109
Paran\u00e3,10562,1716208
Pau D\'Arco,4853,1716307
Pedro Afonso,13288,1716505
Peixe,11591,1716604
